Year,State,Type,Length,Expense,Value,Region
2021,Massachusetts,Private,4-year,Fees/Tuition,49152,Northeast
2021,Vermont,Private,4-year,Fees/Tuition,48300,Northeast
2020,Massachusetts,Private,4-year,Fees/Tuition,47980,Northeast
2020,Vermont,Private,4-year,Fees/Tuition,46445,Northeast
2019,Massachusetts,Private,4-year,Fees/Tuition,46016,Northeast
2021,Rhode Island,Private,4-year,Fees/Tuition,45927,Northeast
2021,Oregon,Private,4-year,Fees/Tuition,45166,West
2021,District of Columbia,Private,4-year,Fees/Tuition,44692,
2018,Massachusetts,Private,4-year,Fees/Tuition,44384,Northeast
2021,Maryland,Private,4-year,Fees/Tuition,44356,Northeast
2020,District of Columbia,Private,4-year,Fees/Tuition,44134,
2019,Vermont,Private,4-year,Fees/Tuition,44068,Northeast
2020,Maryland,Private,4-year,Fees/Tuition,44048,Northeast
2021,Pennsylvania,Private,4-year,Fees/Tuition,43926,Northeast
2020,Rhode Island,Private,4-year,Fees/Tuition,43919,Northeast
2020,Connecticut,Private,4-year,Fees/Tuition,43242,Northeast
2019,District of Columbia,Private,4-year,Fees/Tuition,43143,
2019,Maryland,Private,4-year,Fees/Tuition,43141,Northeast
2021,Connecticut,Private,4-year,Fees/Tuition,43013,Northeast
2020,Pennsylvania,Private,4-year,Fees/Tuition,42812,Northeast
2017,Massachusetts,Private,4-year,Fees/Tuition,42655,Northeast
2018,Vermont,Private,4-year,Fees/Tuition,42637,Northeast
2021,New York,Private,4-year,Fees/Tuition,42631,Northeast
2020,Oregon,Private,4-year,Fees/Tuition,42202,West
2019,Rhode Island,Private,4-year,Fees/Tuition,42108,Northeast
2021,Vermont,Public Out-of-State,4-year,Fees/Tuition,41963,Northeast
2018,Maryland,Private,4-year,Fees/Tuition,41859,Northeast
2019,Connecticut,Private,4-year,Fees/Tuition,41807,Northeast
2018,District of Columbia,Private,4-year,Fees/Tuition,41775,
2019,Pennsylvania,Private,4-year,Fees/Tuition,41703,Northeast
2020,New York,Private,4-year,Fees/Tuition,41404,Northeast
2021,Louisiana,Private,4-year,Fees/Tuition,41393,Southeast
2017,Vermont,Private,4-year,Fees/Tuition,41063,Northeast
2020,Vermont,Public Out-of-State,4-year,Fees/Tuition,41057,Northeast
2021,Washington,Private,4-year,Fees/Tuition,40830,West
2016,Massachusetts,Private,4-year,Fees/Tuition,40761,Northeast
2017,District of Columbia,Private,4-year,Fees/Tuition,40618,
2019,Oregon,Private,4-year,Fees/Tuition,40597,West
2019,New York,Private,4-year,Fees/Tuition,40527,Northeast
2018,Connecticut,Private,4-year,Fees/Tuition,40410,Northeast
2018,Rhode Island,Private,4-year,Fees/Tuition,40361,Northeast
2020,Maine,Private,4-year,Fees/Tuition,40353,Northeast
2017,Maryland,Private,4-year,Fees/Tuition,40209,Northeast
2018,Pennsylvania,Private,4-year,Fees/Tuition,40068,Northeast
2021,Maine,Private,4-year,Fees/Tuition,40007,Northeast
2019,Vermont,Public Out-of-State,4-year,Fees/Tuition,39947,Northeast
2020,Washington,Private,4-year,Fees/Tuition,39791,West
2016,Vermont,Private,4-year,Fees/Tuition,39518,Northeast
2020,Louisiana,Private,4-year,Fees/Tuition,39482,Southeast
2021,Michigan,Public Out-of-State,4-year,Fees/Tuition,39427,Midwest
2015,Massachusetts,Private,4-year,Fees/Tuition,39298,Northeast
2017,Pennsylvania,Private,4-year,Fees/Tuition,39185,Northeast
2018,New York,Private,4-year,Fees/Tuition,39007,Northeast
2017,Connecticut,Private,4-year,Fees/Tuition,38975,Northeast
2019,Maine,Private,4-year,Fees/Tuition,38972,Northeast
2018,Vermont,Public Out-of-State,4-year,Fees/Tuition,38968,Northeast
2016,District of Columbia,Private,4-year,Fees/Tuition,38901,
2017,Rhode Island,Private,4-year,Fees/Tuition,38855,Northeast
2019,Washington,Private,4-year,Fees/Tuition,38754,West
2018,Oregon,Private,4-year,Fees/Tuition,38674,West
2020,New Jersey,Private,4-year,Fees/Tuition,38652,Northeast
2021,New Jersey,Private,4-year,Fees/Tuition,38586,Northeast
2021,California,Private,4-year,Fees/Tuition,38477,West
2016,Maryland,Private,4-year,Fees/Tuition,38352,Northeast
2014,Massachusetts,Private,4-year,Fees/Tuition,38009,Northeast
2017,Vermont,Public Out-of-State,4-year,Fees/Tuition,37991,Northeast
2015,District of Columbia,Private,4-year,Fees/Tuition,37949,
2019,Louisiana,Private,4-year,Fees/Tuition,37830,Southeast
2016,Connecticut,Private,4-year,Fees/Tuition,37679,Northeast
2018,Michigan,Public Out-of-State,4-year,Fees/Tuition,37600,Midwest
2017,New York,Private,4-year,Fees/Tuition,37580,Northeast
2021,Texas,Private,4-year,Fees/Tuition,37450,Southwest
2016,Rhode Island,Private,4-year,Fees/Tuition,37406,Northeast
2015,Vermont,Private,4-year,Fees/Tuition,37391,Northeast
2019,New Jersey,Private,4-year,Fees/Tuition,37329,Northeast
2016,Pennsylvania,Private,4-year,Fees/Tuition,37237,Northeast
2017,Oregon,Private,4-year,Fees/Tuition,37088,West
2018,Maine,Private,4-year,Fees/Tuition,37043,Northeast
2020,California,Private,4-year,Fees/Tuition,37009,West
2021,Connecticut,Public Out-of-State,4-year,Fees/Tuition,36881,Northeast
2020,Michigan,Public Out-of-State,4-year,Fees/Tuition,36832,Midwest
2018,Washington,Private,4-year,Fees/Tuition,36807,West
2013,Massachusetts,Private,4-year,Fees/Tuition,36795,Northeast
2021,North Carolina,Private,4-year,Fees/Tuition,36772,Southeast
2014,District of Columbia,Private,4-year,Fees/Tuition,36723,
2018,Louisiana,Private,4-year,Fees/Tuition,36715,Southeast
2017,Michigan,Public Out-of-State,4-year,Fees/Tuition,36714,Midwest
2018,New Jersey,Private,4-year,Fees/Tuition,36589,Northeast
2016,Vermont,Public Out-of-State,4-year,Fees/Tuition,36475,Northeast
2014,Vermont,Private,4-year,Fees/Tuition,36449,Northeast
2015,Maryland,Private,4-year,Fees/Tuition,36402,Northeast
2016,New York,Private,4-year,Fees/Tuition,36361,Northeast
2015,Connecticut,Private,4-year,Fees/Tuition,36304,Northeast
2015,Rhode Island,Private,4-year,Fees/Tuition,36205,Northeast
2021,Virginia,Public Out-of-State,4-year,Fees/Tuition,36193,Southeast
2020,Texas,Private,4-year,Fees/Tuition,36014,Southwest
2021,Illinois,Private,4-year,Fees/Tuition,35894,Midwest
2019,Michigan,Public Out-of-State,4-year,Fees/Tuition,35844,Midwest
2020,Virginia,Public Out-of-State,4-year,Fees/Tuition,35831,Southeast
2021,Wisconsin,Private,4-year,Fees/Tuition,35674,Midwest
2015,Pennsylvania,Private,4-year,Fees/Tuition,35622,Northeast
2020,Illinois,Private,4-year,Fees/Tuition,35570,Midwest
2020,Wisconsin,Private,4-year,Fees/Tuition,35554,Midwest
2017,Maine,Private,4-year,Fees/Tuition,35547,Northeast
2013,District of Columbia,Private,4-year,Fees/Tuition,35524,
2019,California,Private,4-year,Fees/Tuition,35524,West
2021,Indiana,Private,4-year,Fees/Tuition,35447,Midwest
2014,Connecticut,Private,4-year,Fees/Tuition,35407,Northeast
2020,North Carolina,Private,4-year,Fees/Tuition,35379,Southeast
2021,Ohio,Private,4-year,Fees/Tuition,35352,Midwest
2013,Connecticut,Private,4-year,Fees/Tuition,35336,Northeast
2017,Washington,Private,4-year,Fees/Tuition,35288,West
2015,Vermont,Public Out-of-State,4-year,Fees/Tuition,35241,Northeast
2017,New Jersey,Private,4-year,Fees/Tuition,35224,Northeast
2021,Iowa,Private,4-year,Fees/Tuition,35224,Midwest
2020,Connecticut,Public Out-of-State,4-year,Fees/Tuition,35197,Northeast
2017,Louisiana,Private,4-year,Fees/Tuition,35190,Southeast
2013,Vermont,Private,4-year,Fees/Tuition,35130,Northeast
2015,New York,Private,4-year,Fees/Tuition,35095,Northeast
2014,Rhode Island,Private,4-year,Fees/Tuition,35036,Northeast
2016,Oregon,Private,4-year,Fees/Tuition,35034,West
2020,Iowa,Private,4-year,Fees/Tuition,35019,Midwest
2019,Virginia,Public Out-of-State,4-year,Fees/Tuition,34890,Southeast
2016,Michigan,Public Out-of-State,4-year,Fees/Tuition,34863,Midwest
2021,Minnesota,Private,4-year,Fees/Tuition,34608,Midwest
2019,Texas,Private,4-year,Fees/Tuition,34476,Southwest
2019,Wisconsin,Private,4-year,Fees/Tuition,34424,Midwest
2016,Washington,Private,4-year,Fees/Tuition,34412,West
2021,California,Public Out-of-State,4-year,Fees/Tuition,34398,West
2020,Minnesota,Private,4-year,Fees/Tuition,34321,Midwest
2014,Maryland,Private,4-year,Fees/Tuition,34316,Northeast
2014,Pennsylvania,Private,4-year,Fees/Tuition,34313,Northeast
2016,Maine,Private,4-year,Fees/Tuition,34277,Northeast
2020,Indiana,Private,4-year,Fees/Tuition,34263,Midwest
2016,New Jersey,Private,4-year,Fees/Tuition,34040,Northeast
2020,Ohio,Private,4-year,Fees/Tuition,34008,Midwest
2019,North Carolina,Private,4-year,Fees/Tuition,33990,Southeast
2013,Rhode Island,Private,4-year,Fees/Tuition,33940,Northeast
2021,Oregon,Public Out-of-State,4-year,Fees/Tuition,33935,West
2014,New York,Private,4-year,Fees/Tuition,33825,Northeast
2019,Iowa,Private,4-year,Fees/Tuition,33821,Midwest
2018,Connecticut,Public Out-of-State,4-year,Fees/Tuition,33741,Northeast
2019,Connecticut,Public Out-of-State,4-year,Fees/Tuition,33709,Northeast
2014,Vermont,Public Out-of-State,4-year,Fees/Tuition,33700,Northeast
2015,Michigan,Public Out-of-State,4-year,Fees/Tuition,33666,Midwest
2018,California,Private,4-year,Fees/Tuition,33483,West
2019,Illinois,Private,4-year,Fees/Tuition,33454,Midwest
2020,New Hampshire,Private,4-year,Fees/Tuition,33446,Northeast
2018,Virginia,Public Out-of-State,4-year,Fees/Tuition,33428,Southeast
2019,Indiana,Private,4-year,Fees/Tuition,33402,Midwest
2019,New Hampshire,Private,4-year,Fees/Tuition,33364,Northeast
2018,New Hampshire,Private,4-year,Fees/Tuition,33322,Northeast
2017,New Hampshire,Private,4-year,Fees/Tuition,33235,Northeast
2019,Minnesota,Private,4-year,Fees/Tuition,33212,Midwest
2015,Maine,Private,4-year,Fees/Tuition,33205,Northeast
2018,Wisconsin,Private,4-year,Fees/Tuition,33156,Midwest
2015,Oregon,Private,4-year,Fees/Tuition,33108,West
2021,South Carolina,Public Out-of-State,4-year,Fees/Tuition,33055,Southeast
2015,New Jersey,Private,4-year,Fees/Tuition,32986,Northeast
2015,Washington,Private,4-year,Fees/Tuition,32964,West
2013,Pennsylvania,Private,4-year,Fees/Tuition,32949,Northeast
2016,Connecticut,Public Out-of-State,4-year,Fees/Tuition,32870,Northeast
2020,South Carolina,Public Out-of-State,4-year,Fees/Tuition,32853,Southeast
2017,Connecticut,Public Out-of-State,4-year,Fees/Tuition,32836,Northeast
2016,Louisiana,Private,4-year,Fees/Tuition,32733,Southeast
2013,Vermont,Public Out-of-State,4-year,Fees/Tuition,32650,Northeast
2019,Ohio,Private,4-year,Fees/Tuition,32597,Midwest
2013,Maryland,Private,4-year,Fees/Tuition,32580,Northeast
2014,Maine,Private,4-year,Fees/Tuition,32534,Northeast
2018,Illinois,Private,4-year,Fees/Tuition,32491,Midwest
2018,Texas,Private,4-year,Fees/Tuition,32482,Southwest
2013,New York,Private,4-year,Fees/Tuition,32438,Northeast
2018,Minnesota,Private,4-year,Fees/Tuition,32416,Midwest
2018,Indiana,Private,4-year,Fees/Tuition,32338,Midwest
2017,Virginia,Public Out-of-State,4-year,Fees/Tuition,32250,Southeast
2020,California,Public Out-of-State,4-year,Fees/Tuition,32177,West
2019,South Carolina,Public Out-of-State,4-year,Fees/Tuition,32174,Southeast
2018,North Carolina,Private,4-year,Fees/Tuition,32140,Southeast
2021,Rhode Island,Public Out-of-State,4-year,Fees/Tuition,32111,Northeast
2020,Oregon,Public Out-of-State,4-year,Fees/Tuition,32068,West
2021,Montana,Private,4-year,Fees/Tuition,32064,West
2021,Hawaii,Public Out-of-State,4-year,Fees/Tuition,32043,West
2014,Michigan,Public Out-of-State,4-year,Fees/Tuition,32042,Midwest
2021,Massachusetts,Public Out-of-State,4-year,Fees/Tuition,32019,Northeast
2014,New Jersey,Private,4-year,Fees/Tuition,32010,Northeast
2016,New Hampshire,Private,4-year,Fees/Tuition,31979,Northeast
2020,Massachusetts,Public Out-of-State,4-year,Fees/Tuition,31894,Northeast
2015,New Hampshire,Private,4-year,Fees/Tuition,31868,Northeast
2021,Delaware,Public Out-of-State,4-year,Fees/Tuition,31809,Northeast
2020,Hawaii,Public Out-of-State,4-year,Fees/Tuition,31774,West
2020,Montana,Private,4-year,Fees/Tuition,31724,West
2017,Wisconsin,Private,4-year,Fees/Tuition,31662,Midwest
2014,Oregon,Private,4-year,Fees/Tuition,31599,West
2014,Washington,Private,4-year,Fees/Tuition,31599,West
2020,Delaware,Public Out-of-State,4-year,Fees/Tuition,31582,Northeast
2019,Hawaii,Public Out-of-State,4-year,Fees/Tuition,31581,West
2016,Virginia,Public Out-of-State,4-year,Fees/Tuition,31559,Southeast
2013,Maine,Private,4-year,Fees/Tuition,31558,Northeast
2016,California,Public Out-of-State,4-year,Fees/Tuition,31526,West
2017,California,Private,4-year,Fees/Tuition,31495,West
2019,California,Public Out-of-State,4-year,Fees/Tuition,31423,West
2017,Illinois,Private,4-year,Fees/Tuition,31298,Midwest
2021,New Hampshire,Public Out-of-State,4-year,Fees/Tuition,31256,Northeast
2018,Ohio,Private,4-year,Fees/Tuition,31242,Midwest
2013,New Jersey,Private,4-year,Fees/Tuition,31195,Northeast
2015,Louisiana,Private,4-year,Fees/Tuition,31175,Southeast
2021,Michigan,Private,4-year,Fees/Tuition,31055,Midwest
2013,Michigan,Public Out-of-State,4-year,Fees/Tuition,31047,Midwest
2014,New Hampshire,Private,4-year,Fees/Tuition,31029,Northeast
2018,Hawaii,Public Out-of-State,4-year,Fees/Tuition,31019,West
2017,Texas,Private,4-year,Fees/Tuition,31009,Southwest
2015,Connecticut,Public Out-of-State,4-year,Fees/Tuition,31004,Northeast
2019,Massachusetts,Public Out-of-State,4-year,Fees/Tuition,30966,Northeast
2021,Colorado,Public Out-of-State,4-year,Fees/Tuition,30930,West
2017,Hawaii,Public Out-of-State,4-year,Fees/Tuition,30929,West
2019,Oregon,Public Out-of-State,4-year,Fees/Tuition,30929,West
2017,Indiana,Private,4-year,Fees/Tuition,30926,Midwest
2017,Minnesota,Private,4-year,Fees/Tuition,30925,Midwest
2018,South Carolina,Public Out-of-State,4-year,Fees/Tuition,30919,Southeast
2021,Washington,Public Out-of-State,4-year,Fees/Tuition,30891,West
2020,Rhode Island,Public Out-of-State,4-year,Fees/Tuition,30871,Northeast
2020,Colorado,Public Out-of-State,4-year,Fees/Tuition,30773,West
2013,California,Public Out-of-State,4-year,Fees/Tuition,30765,West
2017,North Carolina,Private,4-year,Fees/Tuition,30701,Southeast
2014,California,Public Out-of-State,4-year,Fees/Tuition,30663,West
2020,New Hampshire,Public Out-of-State,4-year,Fees/Tuition,30594,Northeast
2016,Indiana,Private,4-year,Fees/Tuition,30533,Midwest
2018,Oregon,Public Out-of-State,4-year,Fees/Tuition,30487,West
2015,Virginia,Public Out-of-State,4-year,Fees/Tuition,30416,Southeast
2019,Delaware,Public Out-of-State,4-year,Fees/Tuition,30405,Northeast
2021,Georgia,Private,4-year,Fees/Tuition,30380,Southeast
2017,Ohio,Private,4-year,Fees/Tuition,30296,Midwest
2014,Louisiana,Private,4-year,Fees/Tuition,30257,Southeast
2020,Pennsylvania,Public Out-of-State,4-year,Fees/Tuition,30222,Northeast
2013,New Hampshire,Private,4-year,Fees/Tuition,30202,Northeast
2013,Oregon,Private,4-year,Fees/Tuition,30195,West
2015,California,Public Out-of-State,4-year,Fees/Tuition,30175,West
2020,Washington,Public Out-of-State,4-year,Fees/Tuition,30154,West
2019,Colorado,Public Out-of-State,4-year,Fees/Tuition,30140,West
2019,New Mexico,Private,4-year,Fees/Tuition,30137,Southwest
2013,Washington,Private,4-year,Fees/Tuition,30133,West
2019,Rhode Island,Public Out-of-State,4-year,Fees/Tuition,29998,Northeast
2021,Oklahoma,Private,4-year,Fees/Tuition,29905,Southwest
2017,South Carolina,Public Out-of-State,4-year,Fees/Tuition,29888,Southeast
2021,Tennessee,Private,4-year,Fees/Tuition,29862,Southeast
2018,Colorado,Public Out-of-State,4-year,Fees/Tuition,29846,West
2016,Wisconsin,Private,4-year,Fees/Tuition,29777,Midwest
2018,Massachusetts,Public Out-of-State,4-year,Fees/Tuition,29774,Northeast
2020,Georgia,Private,4-year,Fees/Tuition,29752,Southeast
2014,California,Private,4-year,Fees/Tuition,29678,West
2016,Illinois,Private,4-year,Fees/Tuition,29639,Midwest
2020,Indiana,Public Out-of-State,4-year,Fees/Tuition,29533,Midwest
2016,California,Private,4-year,Fees/Tuition,29519,West
2020,Illinois,Public Out-of-State,4-year,Fees/Tuition,29515,Midwest
2019,New Hampshire,Public Out-of-State,4-year,Fees/Tuition,29447,Northeast
2020,New Jersey,Public Out-of-State,4-year,Fees/Tuition,29435,Northeast
2020,Oklahoma,Private,4-year,Fees/Tuition,29429,Southwest
2020,Michigan,Private,4-year,Fees/Tuition,29405,Midwest
2016,Minnesota,Private,4-year,Fees/Tuition,29377,Midwest
2018,Delaware,Public Out-of-State,4-year,Fees/Tuition,29356,Northeast
2017,Oregon,Public Out-of-State,4-year,Fees/Tuition,29330,West
2016,North Carolina,Private,4-year,Fees/Tuition,29307,Southeast
2019,Washington,Public Out-of-State,4-year,Fees/Tuition,29228,West
2020,Tennessee,Private,4-year,Fees/Tuition,29200,Southeast
2018,California,Public Out-of-State,4-year,Fees/Tuition,29173,West
2019,Indiana,Public Out-of-State,4-year,Fees/Tuition,29092,Midwest
2021,Maine,Public Out-of-State,4-year,Fees/Tuition,29061,Northeast
2015,Indiana,Private,4-year,Fees/Tuition,29050,Midwest
2018,Rhode Island,Public Out-of-State,4-year,Fees/Tuition,29013,Northeast
2017,Colorado,Public Out-of-State,4-year,Fees/Tuition,28986,West
2021,Indiana,Public Out-of-State,4-year,Fees/Tuition,28972,Midwest
2016,Delaware,Public Out-of-State,4-year,Fees/Tuition,28962,Northeast
2016,Ohio,Private,4-year,Fees/Tuition,28953,Midwest
2016,Texas,Private,4-year,Fees/Tuition,28880,Southwest
2021,Florida,Private,4-year,Fees/Tuition,28860,Southeast
2016,Washington,Public Out-of-State,4-year,Fees/Tuition,28849,West
2019,Georgia,Private,4-year,Fees/Tuition,28839,Southeast
2018,Indiana,Public Out-of-State,4-year,Fees/Tuition,28805,Midwest
2017,Massachusetts,Public Out-of-State,4-year,Fees/Tuition,28740,Northeast
2016,South Carolina,Public Out-of-State,4-year,Fees/Tuition,28702,Southeast
2013,Louisiana,Private,4-year,Fees/Tuition,28691,Southeast
2021,New Jersey,Public Out-of-State,4-year,Fees/Tuition,28682,Northeast
2016,Oregon,Public Out-of-State,4-year,Fees/Tuition,28676,West
2019,New Jersey,Public Out-of-State,4-year,Fees/Tuition,28669,Northeast
2021,Illinois,Public Out-of-State,4-year,Fees/Tuition,28660,Midwest
2018,New Jersey,Public Out-of-State,4-year,Fees/Tuition,28649,Northeast
2018,Illinois,Public Out-of-State,4-year,Fees/Tuition,28618,Midwest
2014,Virginia,Public Out-of-State,4-year,Fees/Tuition,28578,Southeast
2015,Washington,Public Out-of-State,4-year,Fees/Tuition,28539,West
2019,Pennsylvania,Public Out-of-State,4-year,Fees/Tuition,28527,Northeast
2020,Maine,Public Out-of-State,4-year,Fees/Tuition,28523,Northeast
2019,Illinois,Public Out-of-State,4-year,Fees/Tuition,28522,Midwest
2017,Delaware,Public Out-of-State,4-year,Fees/Tuition,28497,Northeast
2015,Illinois,Private,4-year,Fees/Tuition,28481,Midwest
2013,California,Private,4-year,Fees/Tuition,28345,West
2014,Connecticut,Public Out-of-State,4-year,Fees/Tuition,28337,Northeast
2017,Indiana,Public Out-of-State,4-year,Fees/Tuition,28315,Midwest
2016,Indiana,Public Out-of-State,4-year,Fees/Tuition,28313,Midwest
2015,Delaware,Public Out-of-State,4-year,Fees/Tuition,28279,Northeast
2018,Washington,Public Out-of-State,4-year,Fees/Tuition,28263,West
2017,California,Public Out-of-State,4-year,Fees/Tuition,28253,West
2015,North Carolina,Private,4-year,Fees/Tuition,28177,Southeast
2017,Illinois,Public Out-of-State,4-year,Fees/Tuition,28167,Midwest
2018,New Hampshire,Public Out-of-State,4-year,Fees/Tuition,28130,Northeast
2017,Washington,Public Out-of-State,4-year,Fees/Tuition,28128,West
2015,Minnesota,Private,4-year,Fees/Tuition,28123,Midwest
2015,Wisconsin,Private,4-year,Fees/Tuition,28094,Midwest
2019,Tennessee,Private,4-year,Fees/Tuition,28080,Southeast
2017,New Jersey,Public Out-of-State,4-year,Fees/Tuition,28051,Northeast
2014,Indiana,Private,4-year,Fees/Tuition,28035,Midwest
2015,Indiana,Public Out-of-State,4-year,Fees/Tuition,28035,Midwest
2018,Iowa,Private,4-year,Fees/Tuition,27991,Midwest
2016,Colorado,Public Out-of-State,4-year,Fees/Tuition,27986,West
2020,Maryland,Public Out-of-State,4-year,Fees/Tuition,27984,Northeast
2016,Rhode Island,Public Out-of-State,4-year,Fees/Tuition,27967,Northeast
2019,Michigan,Private,4-year,Fees/Tuition,27936,Midwest
2016,Hawaii,Public Out-of-State,4-year,Fees/Tuition,27911,West
2016,Illinois,Public Out-of-State,4-year,Fees/Tuition,27909,Midwest
2017,Rhode Island,Public Out-of-State,4-year,Fees/Tuition,27815,Northeast
2015,South Carolina,Public Out-of-State,4-year,Fees/Tuition,27814,Southeast
2018,Georgia,Private,4-year,Fees/Tuition,27813,Southeast
2015,Ohio,Private,4-year,Fees/Tuition,27761,Midwest
2016,Massachusetts,Public Out-of-State,4-year,Fees/Tuition,27736,Northeast
2019,Maine,Public Out-of-State,4-year,Fees/Tuition,27735,Northeast
2021,Missouri,Private,4-year,Fees/Tuition,27723,Midwest
2014,Washington,Public Out-of-State,4-year,Fees/Tuition,27714,West
2019,Oklahoma,Private,4-year,Fees/Tuition,27694,Southwest
2021,Iowa,Public Out-of-State,4-year,Fees/Tuition,27684,Midwest
2015,Illinois,Public Out-of-State,4-year,Fees/Tuition,27672,Midwest
2019,Kentucky,Private,4-year,Fees/Tuition,27648,Southeast
2014,Illinois,Public Out-of-State,4-year,Fees/Tuition,27623,Midwest
2015,Texas,Private,4-year,Fees/Tuition,27552,Southwest
2014,Illinois,Private,4-year,Fees/Tuition,27504,Midwest
2020,Arizona,Public Out-of-State,4-year,Fees/Tuition,27417,Southwest
2015,California,Private,4-year,Fees/Tuition,27388,West
2020,Florida,Private,4-year,Fees/Tuition,27381,Southeast
2016,New Jersey,Public Out-of-State,4-year,Fees/Tuition,27358,Northeast
2020,Iowa,Public Out-of-State,4-year,Fees/Tuition,27346,Midwest
2015,Oregon,Public Out-of-State,4-year,Fees/Tuition,27341,West
2021,South Carolina,Private,4-year,Fees/Tuition,27317,Southeast
2014,North Carolina,Private,4-year,Fees/Tuition,27284,Southeast
2017,Georgia,Private,4-year,Fees/Tuition,27220,Southeast
2017,New Hampshire,Public Out-of-State,4-year,Fees/Tuition,27201,Northeast
2014,Delaware,Public Out-of-State,4-year,Fees/Tuition,27162,Northeast
2018,Pennsylvania,Public Out-of-State,4-year,Fees/Tuition,27129,Northeast
2015,Rhode Island,Public Out-of-State,4-year,Fees/Tuition,27110,Northeast
2014,Minnesota,Private,4-year,Fees/Tuition,27104,Midwest
2013,Virginia,Public Out-of-State,4-year,Fees/Tuition,27079,Southeast
2015,Colorado,Public Out-of-State,4-year,Fees/Tuition,27059,West
2014,South Carolina,Public Out-of-State,4-year,Fees/Tuition,27040,Southeast
2021,Alabama,Public Out-of-State,4-year,Fees/Tuition,27005,Southeast
2014,Indiana,Public Out-of-State,4-year,Fees/Tuition,27001,Midwest
2021,Kentucky,Private,4-year,Fees/Tuition,26996,Southeast
2021,Wisconsin,Public Out-of-State,4-year,Fees/Tuition,26970,Midwest
2018,Michigan,Private,4-year,Fees/Tuition,26964,Midwest
2018,Maine,Public Out-of-State,4-year,Fees/Tuition,26939,Northeast
2018,Tennessee,Private,4-year,Fees/Tuition,26939,Southeast
2020,Kentucky,Private,4-year,Fees/Tuition,26928,Southeast
2014,Ohio,Private,4-year,Fees/Tuition,26917,Midwest
2019,Maryland,Public Out-of-State,4-year,Fees/Tuition,26883,Northeast
2013,Illinois,Public Out-of-State,4-year,Fees/Tuition,26873,Midwest
2016,New Hampshire,Public Out-of-State,4-year,Fees/Tuition,26795,Northeast
2013,Indiana,Private,4-year,Fees/Tuition,26794,Midwest
2020,Alaska,Public Out-of-State,4-year,Fees/Tuition,26767,West
2014,Rhode Island,Public Out-of-State,4-year,Fees/Tuition,26763,Northeast
2013,Rhode Island,Public Out-of-State,4-year,Fees/Tuition,26762,Northeast
2017,Iowa,Private,4-year,Fees/Tuition,26742,Midwest
2021,South Dakota,Private,4-year,Fees/Tuition,26740,Midwest
2018,Kentucky,Private,4-year,Fees/Tuition,26719,Southeast
2013,Connecticut,Public Out-of-State,4-year,Fees/Tuition,26688,Northeast
2014,Wisconsin,Private,4-year,Fees/Tuition,26637,Midwest
2015,New Jersey,Public Out-of-State,4-year,Fees/Tuition,26556,Northeast
2013,Indiana,Public Out-of-State,4-year,Fees/Tuition,26538,Midwest
2020,Alabama,Public Out-of-State,4-year,Fees/Tuition,26517,Southeast
2013,Minnesota,Private,4-year,Fees/Tuition,26499,Midwest
2019,Arizona,Public Out-of-State,4-year,Fees/Tuition,26383,Southwest
2014,Texas,Private,4-year,Fees/Tuition,26382,Southwest
2020,Missouri,Private,4-year,Fees/Tuition,26377,Midwest
2021,Maryland,Public Out-of-State,4-year,Fees/Tuition,26376,Northeast
2021,Montana,Public Out-of-State,4-year,Fees/Tuition,26368,West
2013,North Carolina,Private,4-year,Fees/Tuition,26336,Southeast
2017,Pennsylvania,Public Out-of-State,4-year,Fees/Tuition,26328,Northeast
2019,Florida,Private,4-year,Fees/Tuition,26317,Southeast
2013,Washington,Public Out-of-State,4-year,Fees/Tuition,26314,West
2013,Illinois,Private,4-year,Fees/Tuition,26299,Midwest
2020,Nevada,Private,4-year,Fees/Tuition,26284,West
2020,South Carolina,Private,4-year,Fees/Tuition,26270,Southeast
2018,Oklahoma,Private,4-year,Fees/Tuition,26240,Southwest
2014,Colorado,Public Out-of-State,4-year,Fees/Tuition,26233,West
2013,Delaware,Public Out-of-State,4-year,Fees/Tuition,26228,Northeast
2018,Iowa,Public Out-of-State,4-year,Fees/Tuition,26214,Midwest
2015,Massachusetts,Public Out-of-State,4-year,Fees/Tuition,26213,Northeast
2021,Ohio,Public Out-of-State,4-year,Fees/Tuition,26213,Midwest
2015,Hawaii,Public Out-of-State,4-year,Fees/Tuition,26150,West
2014,Oregon,Public Out-of-State,4-year,Fees/Tuition,26144,West
2015,New Hampshire,Public Out-of-State,4-year,Fees/Tuition,26131,Northeast
2019,Tennessee,Public Out-of-State,4-year,Fees/Tuition,26068,Southeast
2018,Arizona,Public Out-of-State,4-year,Fees/Tuition,26067,Southwest
2021,Nevada,Private,4-year,Fees/Tuition,26054,West
2020,Kentucky,Public Out-of-State,4-year,Fees/Tuition,26048,Southeast
2013,South Carolina,Public Out-of-State,4-year,Fees/Tuition,26042,Southeast
2017,Maine,Public Out-of-State,4-year,Fees/Tuition,26004,Northeast
2017,Tennessee,Private,4-year,Fees/Tuition,25985,Southeast
2019,Montana,Private,4-year,Fees/Tuition,25918,West
2017,Kentucky,Private,4-year,Fees/Tuition,25845,Southeast
2019,Alabama,Public Out-of-State,4-year,Fees/Tuition,25782,Southeast
2013,Ohio,Private,4-year,Fees/Tuition,25756,Midwest
2016,Georgia,Private,4-year,Fees/Tuition,25754,Southeast
