Year,State,Type,Length,Expense,Value,Region
2021,Colorado,Public In-State,4-year,Room/Board,13019,West
2021,Colorado,Public Out-of-State,4-year,Room/Board,13019,West
2019,South Carolina,Public In-State,4-year,Fees/Tuition,13013,Southeast
2021,District of Columbia,Public Out-of-State,4-year,Fees/Tuition,13004,
2021,Florida,Private,4-year,Room/Board,12983,Southeast
2021,Oregon,Public In-State,4-year,Room/Board,12980,West
2021,Oregon,Public Out-of-State,4-year,Room/Board,12980,West
2021,Maryland,Public In-State,4-year,Room/Board,12979,Northeast
2021,Maryland,Public Out-of-State,4-year,Room/Board,12979,Northeast
2016,New Hampshire,Private,4-year,Room/Board,12966,Northeast
2019,Connecticut,Public In-State,4-year,Fees/Tuition,12959,Northeast
2018,Maine,Private,4-year,Room/Board,12951,Northeast
2017,Pennsylvania,Private,4-year,Room/Board,12947,Northeast
2020,Arizona,Public In-State,4-year,Room/Board,12944,Southwest
2020,Arizona,Public Out-of-State,4-year,Room/Board,12944,Southwest
2013,Delaware,Private,4-year,Fees/Tuition,12943,Northeast
2017,Vermont,Private,4-year,Room/Board,12940,Northeast
2020,Oregon,Private,4-year,Room/Board,12931,West
2013,Connecticut,Private,4-year,Room/Board,12926,Northeast
2021,South Dakota,Public Out-of-State,4-year,Fees/Tuition,12924,Midwest
2013,District of Columbia,Private,4-year,Room/Board,12916,
2018,New Jersey,Public In-State,4-year,Room/Board,12908,Northeast
2018,New Jersey,Public Out-of-State,4-year,Room/Board,12908,Northeast
2018,Nevada,Private,4-year,Room/Board,12902,West
2013,New York,Private,4-year,Room/Board,12901,Northeast
2020,Arizona,Private,4-year,Fees/Tuition,12895,Southwest
2019,Michigan,Public In-State,4-year,Fees/Tuition,12888,Midwest
2021,Rhode Island,Public Out-of-State,2-year,Fees/Tuition,12884,Northeast
2018,Connecticut,Public Out-of-State,2-year,Fees/Tuition,12879,Northeast
2020,South Dakota,Public Out-of-State,4-year,Fees/Tuition,12866,Midwest
2014,New York,Public In-State,4-year,Room/Board,12865,Northeast
2014,New York,Public Out-of-State,4-year,Room/Board,12865,Northeast
2019,Delaware,Public In-State,4-year,Room/Board,12839,Northeast
2019,Delaware,Public Out-of-State,4-year,Room/Board,12839,Northeast
2017,Pennsylvania,Public Out-of-State,2-year,Fees/Tuition,12833,Northeast
2018,Connecticut,Public In-State,4-year,Room/Board,12827,Northeast
2018,Connecticut,Public Out-of-State,4-year,Room/Board,12827,Northeast
2021,Ohio,Public In-State,4-year,Room/Board,12811,Midwest
2021,Ohio,Public Out-of-State,4-year,Room/Board,12811,Midwest
2021,Pennsylvania,Public Out-of-State,2-year,Fees/Tuition,12808,Northeast
2016,New Jersey,Private,4-year,Room/Board,12795,Northeast
